County,Agency Name, 2021 Population Estimate,Violent Crime Year to Date,Violent Crime Annual Rate,Property Crime Year to Date,Property Crime Annual Rate,Other Crime Year to Date,Other Crime Annual Rate,2021 Q1,2021 Q2,2021 Q3,2021 Q4,Year to Date,Annual Rate,2021 Q1.1,2021 Q2.1,2021 Q3.1,2021 Q4.1,Year to Date.1,Annual Rate.1,2021 Q1.2,2021 Q2.2,2021 Q3.2,2021 Q4.2,Year to Date.2,Annual Rate.2,2021 Q1.3,2021 Q2.3,2021 Q3.3,2021 Q4.3,Year to Date.3,Annual Rate.3,2021 Q1.4,2021 Q2.4,2021 Q3.4,2021 Q4.4,Year to Date.4,Annual Rate.4,2021 Q1.5,2021 Q2.5,2021 Q3.5,2021 Q4.5,Year to Date.5,Annual Rate.5,2021 Q1.6,2021 Q2.6,2021 Q3.6,2021 Q4.6,Year to Date.6,Annual Rate.6,2021 Q1.7,2021 Q2.7,2021 Q3.7,2021 Q4.7,Year to Date.7,Annual Rate.7,2021 Q1.8,2021 Q2.8,2021 Q3.8,2021 Q4.8,Year to Date.8,Annual Rate.8,2021 Q1.9,2021 Q2.9,2021 Q3.9,2021 Q4.9,Year to Date.9,Annual Rate.9,2021 Q1.10,2021 Q2.10,2021 Q3.10,2021 Q4.10,Year to Date.10,Annual Rate.10,2021 Q1.11,2021 Q2.11,2021 Q3.11,2021 Q4.11,Year to Date.11,Annual Rate.11,2021 Q1.12,2021 Q2.12,2021 Q3.12,2021 Q4.12,Year to Date.12,Annual Rate.12,2021 Q1.13,2021 Q2.13,2021 Q3.13,2021 Q4.13,Year to Date.13,Annual Rate.13,2021 Q1.14,2021 Q2.14,2021 Q3.14,2021 Q4.14,Year to Date.14,Annual Rate.14,2021 Q1.15,2021 Q2.15,2021 Q3.15,2021 Q4.15,Year to Date.15,Annual Rate.15,2021 Q1.16,2021 Q2.16,2021 Q3.16,2021 Q4.16,Year to Date.16,Annual Rate.16,2021 Q1.17,2021 Q2.17,2021 Q3.17,2021 Q4.17,Year to Date.17,Annual Rate.17,2021 Q1.18,2021 Q2.18,2021 Q3.18,2021 Q4.18,Year to Date.18,Annual Rate.18,2021 Q1.19,2021 Q2.19,2021 Q3.19,2021 Q4.19,Year to Date.19,Annual Rate.19,2021 Q1.20,2021 Q2.20,2021 Q3.20,2021 Q4.20,Year to Date.20,Annual Rate.20,2021 Q1.21,2021 Q2.21,2021 Q3.21,2021 Q4.21,Year to Date.21,Annual Rate.21,2021 Q1.22,2021 Q2.22,2021 Q3.22,2021 Q4.22,Year to Date.22,Annual Rate.22,2021 Q1.23,2021 Q2.23,2021 Q3.23,2021 Q4.23,Year to Date.23,Annual Rate.23,2021 Q1.24,2021 Q2.24,2021 Q3.24,2021 Q4.24,Year to Date.24,Annual Rate.24,2021 Q1.25,2021 Q2.25,2021 Q3.25,2021 Q4.25,Year to Date.25,Annual Rate.25,2021 Q1.26,2021 Q2.26,2021 Q3.26,2021 Q4.26,Year to Date.26,Annual Rate.26,2021 Q1.27,2021 Q2.27,2021 Q3.27,2021 Q4.27,Year to Date.27,Annual Rate.27,2021 Q1.28,2021 Q2.28,2021 Q3.28,2021 Q4.28,Year to Date.28,Annual Rate.28,2021 Q1.29,2021 Q2.29,2021 Q3.29,2021 Q4.29,Year to Date.29,Annual Rate.29,2021 Q1.30,2021 Q2.30,2021 Q3.30,2021 Q4.30,Year to Date.30,Annual Rate.30,2021 Q1.31,2021 Q2.31,2021 Q3.31,2021 Q4.31,Year to Date.31,Annual Rate.31,2021 Q1.32,2021 Q2.32,2021 Q3.32,2021 Q4.32,Year to Date.32,Annual Rate.32,2021 Q1.33,2021 Q2.33,2021 Q3.33,2021 Q4.33,Year to Date.33,Annual Rate.33,2021 Q1.34,2021 Q2.34,2021 Q3.34,2021 Q4.34,Year to Date.34,Annual Rate.34,2021 Q1.35,2021 Q2.35,2021 Q3.35,2021 Q4.35,Year to Date.35,Annual Rate.35,2021 Q1.36,2021 Q2.36,2021 Q3.36,2021 Q4.36,Year to Date.36,Annual Rate.36
Duval,Neptune Beach Police Department,"7,259",2.0,27.6,6,82.7,26,358.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,2,27.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,1,0,1,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,2,4,55.1,1.0,0.0,0.0,0.0,1,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,4,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,6,0,13,179.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,13.8,0.0,0.0,0.0,1.0,1.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,3,41.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,41.3,0.0,0.0,0.0,1.0,1.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilchrist,Gilchrist County Sheriff's Office,"16,061",4.0,24.9,17,105.8,26,161.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,6.2,2.0,1.0,0.0,8.0,11,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,5,6,37.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,6,9,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,2,8,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3,5,31.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamilton,Hamilton County Sheriff's Office,"8,885",6.0,67.5,13,146.3,79,889.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,4,6,67.5,3.0,0.0,3.0,0.0,6,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,11.3,2,0,0,0,2,22.5,0.0,1.0,0.0,0.0,1.0,11.3,0.0,0.0,0.0,1.0,1.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,22.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,4,8,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11.3,0.0,0.0,0.0,2.0,2.0,22.5,15,16,5,16,52,585.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,2,7,78.8,0.0,0.0,0.0,2.0,2.0,22.5,2.0,2.0,0.0,2.0,6,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hendry,Clewiston Police Department,"7,368",6.0,81.4,4,54.3,62,841.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,3,5,67.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,0,0,0,1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,3,40.7,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,2.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,3,19,257.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6,11,7,32,434.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4,54.3,1.0,0.0,1.0,0.0,2.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hendry,Hendry County Sheriff's Office,"33,172",78.0,235.1,238,717.5,679,2046.9,0.0,1.0,0.0,0.0,1.0,3.0,5.0,3.0,6.0,3.0,17.0,51.2,1.0,0.0,0.0,1.0,2.0,6.0,9,22,9,18,58,174.8,18.0,19.0,20.0,27.0,84,253.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,5,1,13,39.2,7,9,9,4,29,87.4,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,5.0,4.0,15.0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,11,32,22,26,91,274.3,0.0,2.0,1.0,2.0,5,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,37,77,53,38,205,618.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,8.0,11,33.2,0.0,1.0,1.0,0.0,2.0,6.0,76,57,54,42,229,690.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,10.0,37,111.5,9.0,6.0,10.0,9.0,34.0,102.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,4.0,12.1,0.0,0.0,0.0,1.0,1.0,3.0,25,29,20,33,107,322.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,9.0,9.0,35,105.5,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,7.0,21.1
Hernando,City of Brooksville,"9,165",58.0,632.8,195,2127.7,438,4779.1,0.0,1.0,0.0,0.0,1.0,10.9,2.0,2.0,2.0,2.0,8.0,87.3,2.0,1.0,2.0,0.0,5.0,54.6,9,14,7,14,44,480.1,2.0,6.0,4.0,5.0,17,185.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.9,12,6,19,29,66,720.1,1,8,5,3,17,185.5,2.0,5.0,2.0,3.0,12.0,130.9,7.0,6.0,6.0,5.0,24.0,261.9,0.0,0.0,1.0,0.0,1.0,10.9,10,10,7,11,38,414.6,4.0,5.0,5.0,5.0,19,207.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.9,40,50,39,46,175,1909.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,7.0,14,152.8,2.0,1.0,0.0,1.0,4.0,43.6,35,23,22,29,109,1189.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,65.5,7.0,11.0,21.0,14.0,53,578.3,4.0,1.0,1.0,7.0,13.0,141.8,0.0,0.0,0.0,1.0,1.0,10.9,2.0,0.0,0.0,0.0,2.0,21.8,0.0,2.0,0.0,1.0,3.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,5,11,10,15,41,447.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,3.0,11,120.0,1.0,0.0,1.0,0.0,2.0,21.8,0.0,1.0,0.0,0.0,1.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,21.8
Hernando,Hernando County Sheriff's Office,"187,375",488.0,260.4,"1,944",1037.5,"4,256",2271.4,2.0,0.0,3.0,1.0,6.0,3.2,19.0,19.0,22.0,25.0,85.0,45.4,8.0,15.0,19.0,7.0,49.0,26.2,73,85,92,98,348,185.7,50.0,63.0,69.0,59.0,241,128.6,1.0,2.0,0.0,0.0,3.0,1.6,0.0,0.0,1.0,0.0,1.0,0.5,58,81,81,202,422,225.2,106,78,55,41,280,149.4,49.0,40.0,31.0,35.0,155.0,82.7,65.0,71.0,74.0,73.0,283.0,151.0,0.0,0.0,1.0,2.0,3.0,1.6,88,96,90,108,382,203.9,46.0,42.0,49.0,37.0,174,92.9,0.0,2.0,1.0,0.0,3.0,1.6,5.0,3.0,2.0,4.0,14.0,7.5,372,475,466,483,"1,796",958.5,0.0,0.0,0.0,0.0,0.0,0.0,23.0,31.0,31.0,59.0,144,76.9,5.0,5.0,8.0,7.0,25.0,13.3,268,252,230,258,"1,008",538.0,0.0,1.0,0.0,0.0,1.0,0.5,9.0,7.0,7.0,4.0,27.0,14.4,91.0,94.0,93.0,94.0,372,198.5,32.0,18.0,38.0,25.0,113.0,60.3,4.0,2.0,4.0,4.0,14.0,7.5,1.0,0.0,0.0,0.0,1.0,0.5,18.0,4.0,4.0,13.0,39.0,20.8,0.0,2.0,4.0,3.0,9.0,4.8,137,105,107,114,463,247.1,1.0,3.0,0.0,2.0,6.0,3.2,23.0,17.0,25.0,15.0,80,42.7,35.0,20.0,22.0,29.0,106.0,56.6,0.0,4.0,4.0,3.0,11.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,4.0,24.0,12.8
Hillsborough,Tampa Police Department,"391,800",2230.0,569.2,"6,661",1700.1,"13,680",3491.6,13.0,10.0,10.0,10.0,43.0,11.0,40.0,46.0,45.0,38.0,169.0,43.1,81.0,86.0,68.0,78.0,313.0,79.9,396,407,467,435,"1,705",435.2,180.0,187.0,219.0,239.0,825,210.6,13.0,13.0,8.0,8.0,42.0,10.7,8.0,16.0,15.0,14.0,53.0,13.5,217,168,209,269,863,220.3,444,390,349,398,"1,581",403.5,106.0,107.0,96.0,129.0,438.0,111.8,90.0,86.0,101.0,112.0,389.0,99.3,3.0,1.0,7.0,3.0,14.0,3.6,430,453,387,417,"1,687",430.6,239.0,179.0,176.0,175.0,769,196.3,2.0,3.0,1.0,1.0,7.0,1.8,9.0,8.0,7.0,7.0,31.0,7.9,"1,291","1,322","1,372","1,408","5,393",1376.5,2.0,2.0,1.0,4.0,9.0,2.3,60.0,51.0,43.0,61.0,215,54.9,21.0,16.0,16.0,21.0,74.0,18.9,669,784,636,635,"2,724",695.3,0.0,0.0,0.0,0.0,0.0,0.0,32.0,28.0,28.0,24.0,112.0,28.6,309.0,296.0,327.0,308.0,"1,240",316.5,80.0,56.0,75.0,39.0,250.0,63.8,6.0,2.0,2.0,2.0,12.0,3.1,48.0,9.0,0.0,3.0,60.0,15.3,15.0,15.0,24.0,25.0,79.0,20.2,5.0,12.0,6.0,6.0,29.0,7.4,561,570,560,558,"2,249",574.0,0.0,0.0,0.0,2.0,2.0,0.5,248.0,235.0,185.0,181.0,849,216.7,117.0,79.0,57.0,63.0,316.0,80.7,0.0,1.0,0.0,0.0,1.0,0.3,7.0,1.0,3.0,3.0,14.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,3.0,14.0,3.6
Marion,Marion County Sheriff's Office,"309,408",841.0,271.8,"2,784",899.8,"4,748",1534.5,0.0,1.0,0.0,0.0,1.0,0.3,41.0,33.0,32.0,37.0,143.0,46.2,15.0,6.0,11.0,17.0,49.0,15.8,134,183,164,167,648,209.4,135.0,120.0,126.0,136.0,517,167.1,0.0,0.0,0.0,1.0,1.0,0.3,0.0,0.0,1.0,0.0,1.0,0.3,152,117,67,99,435,140.6,176,159,167,107,609,196.8,33.0,27.0,29.0,22.0,111.0,35.9,38.0,45.0,41.0,18.0,142.0,45.9,2.0,1.0,0.0,0.0,3.0,1.0,167,169,192,208,736,237.9,58.0,60.0,60.0,51.0,229,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,671,844,849,801,"3,165",1022.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,2.0,2.0,6.0,14.0,4.5,199,176,228,163,766,247.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,29.0,22.0,28.0,97,31.4,1.0,3.0,2.0,1.0,7.0,2.3,0.0,0.0,0.0,1.0,1.0,0.3,8.0,1.0,2.0,0.0,11.0,3.6,17.0,2.0,4.0,6.0,29.0,9.4,3.0,2.0,3.0,0.0,8.0,2.6,125,144,125,123,517,167.1,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,30.0,30.0,114,36.8,2.0,5.0,2.0,1.0,10.0,3.2,0.0,0.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,1.3
Marion,Ocala Police Department,"64,243",475.0,739.4,"2,076",3231.5,"3,994",6217.0,2.0,0.0,2.0,2.0,6.0,9.3,17.0,17.0,17.0,19.0,70.0,109.0,13.0,12.0,16.0,13.0,54.0,84.1,99,87,94,65,345,537.0,68.0,65.0,84.0,85.0,302,470.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6,136,127,95,124,482,750.3,64,68,64,57,253,393.8,21.0,19.0,7.0,13.0,60.0,93.4,2.0,3.0,2.0,5.0,12.0,18.7,1.0,1.0,0.0,0.0,2.0,3.1,212,208,192,211,823,1281.1,40.0,34.0,34.0,33.0,141,219.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,10.0,15.6,385,389,345,398,"1,517",2361.3,4.0,9.0,13.0,7.0,33.0,51.4,4.0,6.0,17.0,17.0,44,68.5,4.0,7.0,6.0,5.0,22.0,34.2,304,258,264,302,"1,128",1755.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.6,75.0,69.0,68.0,92.0,304,473.2,21.0,22.0,19.0,22.0,84.0,130.8,1.0,0.0,0.0,1.0,2.0,3.1,3.0,0.0,0.0,0.0,3.0,4.7,4.0,4.0,5.0,1.0,14.0,21.8,5.0,5.0,6.0,6.0,22.0,34.2,131,134,101,107,473,736.3,0.0,0.0,0.0,0.0,0.0,0.0,48.0,66.0,63.0,49.0,226,351.8,29.0,28.0,17.0,32.0,106.0,165.0,0.0,2.0,1.0,1.0,4.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
Miami-Dade,Aventura Police Department,"40,371",35.0,86.7,415,1028.0,310,767.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,7.4,0.0,0.0,5.0,13.0,18.0,44.6,0,0,6,8,14,34.7,1.0,1.0,5.0,9.0,16,39.6,0.0,1.0,0.0,5.0,6.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,5,1,55,161,222,549.9,1,0,7,37,45,111.5,2.0,0.0,1.0,9.0,12.0,29.7,0.0,1.0,0.0,5.0,6.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,6,4,19,65,94,232.8,0.0,0.0,2.0,12.0,14,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,17,48,67,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9,22.3,0.0,0.0,0.0,2.0,2.0,5.0,1,8,8,19,36,89.2,0.0,0.0,1.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,15.0,21.0,53,131.3,0.0,4.0,0.0,2.0,6.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,14.9,2.0,8.0,2.0,5.0,17.0,42.1,1,2,6,26,35,86.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,11.0,16.0,39,96.6,8.0,9.0,3.0,19.0,39.0,96.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miami-Dade,Coral Gables Police Department,"50,193",52.0,103.6,"1,025",2042.1,676,1346.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,12.0,0.0,4.0,0.0,2.0,6.0,12.0,6,6,12,16,40,79.7,26.0,11.0,20.0,23.0,80,159.4,1.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,6.0,36,39,34,33,142,282.9,66,56,52,85,259,516.0,12.0,13.0,14.0,27.0,66.0,131.5,21.0,17.0,27.0,26.0,91.0,181.3,0.0,0.0,0.0,0.0,0.0,0.0,68,71,91,73,303,603.7,18.0,14.0,23.0,24.0,79,157.4,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28,56,37,39,160,318.8,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,17.0,24.0,78,155.4,0.0,1.0,0.0,0.0,1.0,2.0,24,13,14,9,60,119.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,41.0,31.0,49.0,33.0,154,306.8,11.0,3.0,9.0,15.0,38.0,75.7,0.0,0.0,3.0,2.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,52,37,43,29,161,320.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,7,13.9,1.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miami-Dade,Doral Police Department,"80,703",132.0,163.6,"1,377",1706.3,"1,413",1750.9,0.0,0.0,0.0,1.0,1.0,1.2,8.0,3.0,3.0,7.0,21.0,26.0,3.0,10.0,3.0,6.0,22.0,27.3,25,16,25,22,88,109.0,31.0,16.0,19.0,14.0,80,99.1,1.0,1.0,0.0,2.0,4.0,5.0,1.0,5.0,3.0,2.0,11.0,13.6,87,54,54,84,279,345.7,59,42,53,64,218,270.1,47.0,23.0,43.0,37.0,150.0,185.9,5.0,7.0,8.0,8.0,28.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,134,118,103,111,466,577.4,43.0,28.0,34.0,36.0,141,174.7,0.0,0.0,0.0,1.0,1.0,1.2,1.0,0.0,0.0,0.0,1.0,1.2,125,112,107,110,454,562.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,12.0,5.0,41,50.8,0.0,1.0,4.0,3.0,8.0,9.9,39,30,48,12,129,159.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,13.0,23.0,28.5,133.0,105.0,113.0,100.0,451,558.8,11.0,10.0,8.0,6.0,35.0,43.4,3.0,3.0,1.0,1.0,8.0,9.9,1.0,0.0,1.0,0.0,2.0,2.5,0.0,0.0,0.0,2.0,2.0,2.5,9.0,7.0,10.0,9.0,35.0,43.4,41,50,46,46,183,226.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,8.0,7.0,40,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
